GEOID,exc_jobs,exc_hospitals,exc_groceries,exc_schools,composite_deficit,disadvantage_z,posterior_mean_jobs,composite_rank
06073013320,0.99925,1.0,1.0,1.0,0.9998125,-0.4090360707420991,141.3605626174262,32
06073019109,0.99925,1.0,1.0,1.0,0.9998125,-0.1112274289256591,572.9988101274567,33
06073018619,0.99871875,1.0,1.0,1.0,0.9996796875,-0.9883242621892796,795.6107750665872,34
06073009507,0.99859375,1.0,1.0,1.0,0.9996484375,-0.3212876753377001,744.5624403166589,35
06073016811,0.99859375,1.0,1.0,1.0,0.9996484375,-0.0611581605350981,724.9250926014339,36
06073020312,0.99821875,1.0,1.0,1.0,0.9995546875,-0.1452031933616605,79.7102058572132,37
06073018804,0.99634375,1.0,1.0,1.0,0.9990859375,-0.2971572875733976,915.5367247116945,38
06073020032,0.99625,1.0,1.0,1.0,0.9990625,-0.7697781173956778,884.275891883599,39
06073016807,0.99509375,1.0,1.0,1.0,0.9987734375,-0.1242305862556885,858.1425929156009,40
06073018612,0.99471875,1.0,1.0,1.0,0.9986796875,-0.336870439328275,903.1099256218093,41
06073019103,0.9939375,1.0,1.0,1.0,0.998484375,-0.1647424495857726,964.0520182765574,42
06073017808,0.99334375,1.0,1.0,1.0,0.9983359375,-0.6550195752620999,922.8824864721711,43
06073016812,0.9933125,1.0,1.0,1.0,0.998328125,0.5394228101475349,957.5968026453048,44
06073013422,0.99328125,1.0,1.0,1.0,0.9983203125,-0.6342239823182487,959.6049320691394,45
06073016618,0.99315625,1.0,1.0,1.0,0.9982890625,-0.1848497943957825,422.4976711200846,46
06073020044,0.9921875,1.0,1.0,1.0,0.998046875,-0.9434716358370993,937.9166773856565,47
06073020033,0.9909375,1.0,1.0,1.0,0.9977343750000001,-0.109727056774936,892.7289908120492,48
06073013307,0.98946875,1.0,1.0,1.0,0.9973671875,0.6121646985981926,943.5055595363165,49
06073020043,0.98559375,1.0,1.0,1.0,0.9963984375,-0.5658681181843846,947.7101828282075,50
06073020110,0.97925,1.0,1.0,1.0,0.9948125,-0.2733158498861672,1038.0364791369184,51
06073020813,0.94290625,1.0,1.0,1.0,0.9857265625,-0.3954539936014458,1107.6890722996834,52
06073017111,0.9330625,1.0,1.0,1.0,0.983265625,-1.1383090724314997,1119.1082585770835,53
06073016609,0.91475,1.0,1.0,1.0,0.9786874999999999,-0.1673953403666839,1131.8346030056332,54
06073018803,0.9080625,1.0,1.0,1.0,0.9770156249999999,0.2747439958217415,1138.7147030135272,55
06073016809,0.8705625,1.0,1.0,1.0,0.967640625,0.7706394427055621,1155.4817382497847,56
06073017062,0.79425,1.0,1.0,1.0,0.9485625,-1.4566319352341128,1188.7402176651165,57
06073021600,0.46534375,1.0,1.0,1.0,0.8663359374999999,-0.0425764046052134,1266.836509412326,58
06073017060,0.34859375,1.0,1.0,1.0,0.8371484375,-0.0918491613084003,1296.5243230494439,59
06073021305,0.07,1.0,1.0,1.0,0.7675000000000001,-0.5145283488024215,1412.0739716475355,60
06073015501,0.06440625,1.0,1.0,1.0,0.7661015625,-0.3644676746291842,1415.8295159361476,61
