GEOID,pareto_k
06073011601,0.8894634854943161
06073011602,1.2977780471525122
06073011700,1.0188691897270805
06073011801,0.9921607919415808
06073011802,0.9591416969126368
06073011902,1.069632109413194
06073012002,1.1698372862075543
06073012003,0.9611911620588358
06073012101,1.2191717267806226
06073012102,0.9999915276213797
06073012200,1.0286699247191877
06073012302,1.3165409435276678
06073012303,1.1341829501568983
06073012304,1.205253208681324
06073012401,1.3480139828012938
06073012402,1.14154145580661
06073012501,1.1094809541933668
06073012502,1.1669173825387982
06073012600,1.4152317680527733
06073012700,1.1439407675673712
06073012800,0.9995918826027285
06073012900,1.1710023499012752
06073013000,1.0472698515110108
06073013102,1.0946756311291463
06073013103,1.3637225308169703
06073013104,1.2972776146005343
06073013203,1.0357646589168827
06073013204,0.9537559566673013
06073013205,1.0499517390861082
06073013206,0.9977003816091804
06073013301,1.0242558677332165
06073013302,1.0749543616587405
06073013303,1.118414547392996
06073013306,1.1854993220565153
06073013307,1.4473274718759046
06073013308,0.9385042265026239
06073013309,1.1789091418303685
06073013312,1.0829521515710079
06073013315,0.982129316171574
06073013316,0.8369292239281766
06073013317,0.9203799410938328
06073013318,0.9664254870768801
06073013319,1.3185920988560398
06073013320,3.7245168063108736
06073013321,0.9735836955258471
06073013322,1.0326764818855474
06073013323,1.0079572885433041
06073013324,1.127674891612023
06073013325,1.4392266405667502
06073013326,1.2743412559193743
06073013327,0.9805355352091641
06073013401,0.8570736563421754
06073013409,1.1010194410780663
06073013411,0.8200061836005547
06073013412,1.2748591646200433
06073013414,0.9973560699437908
06073013415,0.9739748057002524
06073013416,0.9803479299958116
06073013417,1.1566795786582673
06073013418,1.1776162990124888
06073013420,1.109320904754462
06073013421,0.91692856421004
06073013422,1.0286785048386353
06073013423,1.3536529790309866
06073013424,0.8403000521133126
06073013425,1.0042242935169938
06073013503,1.1714178100140067
06073013504,1.2120046387546533
06073013505,0.9507219827298441
06073013506,1.177747240100281
06073013601,1.2596414004602299
06073013604,0.9852173176562216
06073013605,1.2501885376769526
06073013607,1.0150875091712372
06073013608,1.2524092860510008
06073013701,1.0543722977078682
06073013702,1.0359068544252494
06073013801,1.0479322216457705
06073013802,1.0070190893912445
06073013903,1.2345353912707067
06073013905,0.7751349360497495
06073013906,1.1339669272216775
06073013907,1.1532824449644905
06073013908,1.2076071238114467
06073013909,1.3126806905995314
06073014001,1.1404608718952813
06073014002,1.1078920892393582
06073014101,1.0593575549671728
06073014102,0.9970720940668084
06073014200,1.3038271556667538
06073014300,0.8938601649556027
06073014400,1.1520918370789397
06073014500,1.1401705770190236
06073014601,0.8764785761795663
06073014602,1.0930128926495604
06073014701,1.022506475326554
06073014702,1.1902595436612269
06073014803,1.1507291154888233
06073014804,0.9983848558581396
06073014805,0.8296357789513956
06073014806,1.1819196576923836
06073014901,1.1778972264070602
06073014902,1.0201655434388022
06073015001,1.0582753562789577
06073015002,1.0214232372581968
06073015100,0.9891388834454394
06073015200,1.2238805847315428
06073015301,1.151677576002636
06073015302,1.102925529751494
06073015403,1.0468201185846275
06073015405,1.3271527941394214
06073015406,1.6579887265012772
06073015407,1.050600564079021
06073015408,1.0386276079241883
06073015501,1.0527364773114498
06073015502,1.138975769577268
06073015601,0.9318038081165048
06073015602,1.032820609569526
06073015701,1.1186658824231102
06073015704,1.0625472733142678
06073015705,0.8909967623653917
06073015706,1.086168249305577
06073015801,1.2625967852321833
06073015802,1.159583990621935
06073015901,1.5662955746259202
