GEOID,Jobs (LODES)_desert,Hospitals_desert,Groceries_desert,Schools_desert,n_deserts,multi_desert,disadvantage_z,posterior_mean_jobs
06073002903,False,False,False,False,0,False,0.3484184809388757,17081.005995979693
06073002904,False,False,False,False,0,False,1.7713114206142595,18657.42151321678
06073002905,False,False,False,False,0,False,1.2928127627983137,15305.6099370418
06073003001,False,False,False,False,0,False,0.1154296658938609,8885.525446010228
06073003003,False,True,False,False,1,False,0.4087861801747146,4607.860446752663
06073003004,False,True,False,False,1,False,0.5834785233451485,6523.533546000168
06073003101,False,False,False,False,0,False,0.0543414967071251,10736.264780141408
06073003103,False,True,False,False,1,False,0.0150916736749134,4588.256841246989
06073003105,True,True,False,False,2,False,-0.0860322721269244,4230.9465064647675
06073003107,False,True,False,False,1,False,0.0483904061492389,4746.570536997322
06073003108,True,True,False,False,2,False,-0.0703935642223417,3999.2218326985285
06073003109,False,False,False,False,0,False,-0.1424777467047868,6327.250179808916
06073003111,False,False,False,False,0,False,1.5591460716880754,9419.966241628012
06073003112,False,False,False,False,0,False,-0.1590740827992392,6599.767199703562
06073003113,False,False,False,False,0,False,-0.1983518103279833,8173.9567850280955
06073003114,True,True,False,False,2,False,-0.0494474776004681,2093.7970726283647
06073003115,False,True,False,False,1,False,0.970825555706393,4923.968016174823
06073003201,False,False,False,False,0,False,0.1348171193599339,6526.492987247611
06073003202,False,False,False,False,0,False,-0.1431136844210574,8195.819298157836
06073003204,False,False,True,False,1,False,-0.0227620421152711,5498.254484237968
06073003207,True,True,True,True,4,True,-0.2446002424271614,2534.62457965276
06073003208,True,True,True,False,3,True,0.3393965956934965,3215.67670366289
06073003209,True,True,False,False,2,False,-0.0395137860464223,2975.516679250963
06073003211,True,False,True,False,2,False,-0.0515193796795565,4174.638814018955
06073003212,False,False,True,False,1,False,-0.001500597059709,6420.332081397941
06073003213,True,True,False,False,2,False,-0.3833465828120472,3707.8876206082277
06073003214,True,True,False,False,2,False,-0.0304032589944582,3513.643203357875
06073003301,False,False,False,False,0,False,0.9562297820643292,14436.90747487854
06073003303,False,False,False,False,0,False,0.8631952857189115,15480.548067958014
06073003304,False,False,False,False,0,False,1.5026260402528155,13352.799180105792
06073003305,False,False,False,False,0,False,1.2713105939310665,15860.627144546175
06073003401,False,False,False,False,0,False,0.5528386952359389,14274.817445861814
06073003403,False,False,False,False,0,False,0.72117827971255,14816.211824096768
06073003404,False,False,False,False,0,False,0.1223923833474593,11877.154283334352
06073003501,False,False,False,False,0,False,1.289466933730865,15207.746862801425
06073003502,False,False,False,False,0,False,1.4342206096128345,16207.442183204634
06073003601,False,False,False,False,0,False,0.6566393435724763,14964.690370487411
06073003602,False,False,False,False,0,False,0.8138740331048471,17724.697919376347
06073003603,False,False,False,False,0,False,1.039540822744861,25644.929899878956
06073003800,False,True,True,True,3,True,-0.4996321377588829,4946.5843287784
06073003901,False,False,False,False,0,False,0.8280625140462075,27711.628300936234
06073003902,False,False,False,False,0,False,1.4206989089240425,27231.593643145683
06073004000,False,False,False,False,0,False,1.074798819333862,28939.86896463853
06073004101,False,False,False,False,0,False,0.6050802815968904,29772.357800842823
